Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
1.097781163864346e-15,0.11224537200002492,0.0,0.0,0.0,0.0,0.99999999999955558,4.4178741683669823e-13,1.4229332142732483e-15,5.3077049810144894e-23,1.4229332148984873e-15,3.8363879568178416e-23,1.1512735077686633e-23,1.5867289999116754e-44,7.1693618540543481e-40,3.7948730521079544e-47,3.3528287142048284e-68,5.2721778202262706e-71,1.9276097130088807e-76,1.8374880225655641e-78,4.1416884464305008e-79,5.4003572016579431e-52,2.2429469601419074e-53,3.8267583345729048e-75,1.5291501229140395e-69
2.196039002137665e-15,0.11224537200004991,0.0,0.0,0.0,0.0,0.99999999999911049,8.837666648377486e-13,2.8464843417296502e-15,2.1237733528005835e-22,2.8464843442314247e-15,1.5350549196556627e-22,4.6065937087857014e-23,2.5402417847819631e-43,5.7376864367423348e-39,6.0742867631784751e-46,2.1471726860287221e-66,3.3771578453453252e-69,2.4672910237526349e-74,2.3540671768919159e-76,5.3060551222212872e-77,1.7291521008423674e-50,7.1817394665241985e-52,4.90138291481991e-73,9.7926832435307727e-68
4.392554678684303e-15,0.11224537200009987,0.0,0.0,0.0,0.0,0.99999999999822065,1.7677251605201961e-12,5.6935867540971961e-15,8.4964763277979737e-22,5.6935867641059509e-15,6.141219440437507e-22,1.8429375065099435e-22,4.0655648689111081e-42,4.5910497709650973e-38,9.7208955886174007e-45,1.3746310767007564e-64,2.1623272477085065e-67,3.1538199117439824e-72,3.0145356704941599e-74,6.7947475257558973e-75,5.5349442383677238e-49,2.2988443350129103e-50,6.2758010721249118e-71,6.2694176447535095e-66
8.785586031777579e-15,0.1122453720001997,0.0,0.0,0.0,0.0,0.99999999999644174,3.5356421506064818e-12,1.1387792208651195e-14,3.3988671331993826e-21,1.1387792248689684e-14,2.4566878592423531e-21,7.3723504725804452e-22,6.5058377742683688e-41,3.6732347488926943e-37,1.5555204539172926e-43,8.7991059176553366e-63,1.3841888978258095e-65,4.0232377191358786e-70,3.859447423219332e-72,8.699173829784527e-73,1.7714451387410117e-47,7.3573895464386335e-49,8.0343907620480806e-69,4.0132793469384137e-64
1.757164873796413e-14,0.11224537200039945,0.0,0.0,0.0,0.0,0.99999999999288269,7.071476125664606e-12,2.2776205637034205e-14,1.3596021749162611e-20,2.2776205797196414e-14,9.8271525490770859e-21,2.9490605688720076e-21,1.0410060227556585e-39,2.9388012133678552e-36,2.4890198974956298e-42,5.6319702045062096e-61,8.8597261105761177e-64,5.1134733209159489e-68,4.9406086461793728e-70,1.1136104575314785e-70,5.6690307463362842e-46,2.3545304752096106e-47,1.028506136675131e-66,2.5690016318031766e-62
3.514377415033723e-14,0.11224537200079886,0.0,0.0,0.0,0.0,0.99999999998576583,1.4143144055323085e-11,4.5553042570895753e-14,5.4385193389134473e-20,4.5553043211571485e-14,3.9309419888642514e-20,1.1796485329514372e-20,1.6656584347599504e-38,2.3512150321260676e-35,3.9827269697468043e-41,3.6047278535177568e-59,5.6704714469432838e-62,6.4532874961481169e-66,6.3242574327731715e-68,1.4254839082079542e-68,1.8141455658790822e-44,7.5347102187279028e-46,1.3165973117339857e-64,1.6446165783555496e-60
7.028802497508342e-14,0.11224537200159773,0.0,0.0,0.0,0.0,0.99999999997153144,2.8286479832808927e-11,9.1106756746964307e-14,2.1754298588165291e-19,9.1106759309804092e-14,1.5723935858447643e-19,4.7186445750990691e-20,2.6650644168716744e-37,1.8811835610757893e-34,6.3730645185282942e-40,2.3072307139021328e-57,3.629135364547529e-60,8.0338268289460547e-64,8.0951271855491987e-66,1.8246363441341127e-66,5.805295558341203e-43,2.4111076223533707e-44,1.6854242207500694e-62,1.0530774831412239e-58
1.405765266245758e-13,0.11224537200319552,0.0,0.0,0.0,0.0,0.99999999994306221,5.6573151060456112e-11,1.8221434633219014e-13,8.7017636436013394e-19,1.8221435658448781e-13,6.2896126945915139e-19,1.8874693843920474e-19,4.2640218299694335e-36,1.5052585189806517e-33,1.0198953145651768e-38,1.476846127037358e-55,2.3226330052799784e-58,9.7486295020494132e-62,1.036170437914193e-63,2.3355199053513524e-64,1.8576613127332157e-41,7.7153294135817253e-43,2.1577385562198633e-60,6.7461957070171711e-57
2.8115352992356064e-13,0.112245372006391,0.0,0.0,0.0,0.0,0.99999999988612476,1.1314649220645237e-10,3.6443017043265378e-13,3.4807142684360513e-18,3.6443021144903978e-13,2.5158565644579612e-18,7.5499123715622951e-19,6.8220820214527217e-35,1.2046947698658227e-32,1.632472915970653e-37,9.4544709850541305e-54,1.9643129484889612e-56,1.4910472048817094e-59,1.7493037750840737e-61,3.942911809065651e-62,5.9442196114066727e-40,2.4687330737796664e-41,2.762876598163449e-58,4.3258225388976924e-55
5.623075365215302e-13,0.11224537201278201,0.0,0.0,0.0,0.0,0.99999999977224896,2.2629316926125012e-10,7.2886439833487755e-13,1.3922874450225237e-17,7.288645624573598e-13,1.006347976179869e-17,3.0199812956864872e-18,1.0914127822869103e-33,9.6453224720057606e-32,2.6139935140210757e-36,6.0542147552618923e-52,1.2622678002252825e-54,1.6150516722713368e-57,2.2523828986271156e-59,5.0768341201246041e-60,1.9019471097399968e-38,7.8987874973038228e-40,3.5389412689534557e-56,2.7790739372005829e-53
1e-12,0.11224537202556399,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243664247882091e-10,1.2962131447367822e-12,4.6434995162152261e-17,1.2962136924645691e-12,3.3563556542077813e-17,1.0072195067663546e-17,1.3831470026227384e-32,6.2296345731717089e-31,3.3185073060716662e-35,3.0327530092860251e-50,6.3221933309507148e-53,1.2262047163273426e-55,2.2513535646744367e-57,5.0744889101341208e-58,4.7785558659443719e-37,1.9843778905079174e-38,3.5386927538683772e-54,1.4011009179945913e-51
1.1246155497174693e-12,0.11224537202556399,0.0,0.0,0.0,0.0,0.99999999954449803,4.5258650242205045e-10,1.4577431727945245e-12,5.569153058964755e-17,1.4577438297386901e-12,4.0254270297508502e-17,1.2080032919921159e-17,1.7458695462296552e-32,7.7286634012684455e-31,4.1888974088524808e-35,3.8789720358267538e-50,8.0862487856661805e-53,1.5707196025470122e-55,2.8859243326983114e-57,6.5047938673590316e-58,6.0849095166782509e-37,2.5268620409043006e-38,4.5361192760634736e-54,1.7920964619025107e-51
2.249231576109348e-12,0.11224537205112801,0.0,0.0,0.0,0.0,0.99999999908899562,9.0517308494833831e-10,2.9155419951347521e-12,2.227661722222596e-16,2.9155446265426552e-12,1.610197375765906e-16,4.8320947514100566e-17,2.7921364799425657e-31,6.2027714719403471e-30,6.723051701329486e-34,2.4880005012479517e-48,5.18781036663043e-51,1.3596787961193356e-53,3.7029497313202478e-55,8.3462638133741816e-56,1.9463226034265708e-35,8.0811480948274088e-37,5.8222625332235326e-52,1.1641921021543119e-49
3.373847602501226e-12,0.11224537207669204,0.0,0.0,0.0,0.0,0.99999999863349265,1.3577595836275938e-09,4.3733820895300625e-12,4.7337812999971478e-16,4.3733876866038125e-12,3.4217080064955803e-16,1.0268319877457636e-16,1.0642808322586199e-30,1.7773931217465374e-29,2.4787515558627858e-33,1.3894174369301206e-47,2.5759989561694146e-50,7.2013640093540801e-53,2.1946599572477808e-54,4.9466378451603352e-55,9.133217939471662e-35,3.7918813984577635e-36,3.8100334136648835e-51,6.5777804164619565e-49
4.4984636288931044e-12,0.11224537210225612,0.0,0.0,0.0,0.0,0.99999999817799001,1.8103459984596375e-09,5.8312634547806741e-12,8.0752739072270526e-16,5.831273011103994e-12,5.8370916905981637e-16,1.7516731203868774e-16,2.863027837273758e-30,3.7578610006401844e-29,6.2980385441816886e-33,5.2253272942498167e-47,1.0915403239483499e-49,3.1020132225699014e-52,9.9251310487149275e-54,2.2370637192689707e-54,2.8466774074569189e-34,1.1818041485679263e-35,1.5924554876549079e-50,2.3638611770085463e-48
6.747695681676861e-12,0.11224537215338418,0.0,0.0,0.0,0.0,0.99999999726698385,2.7155186312040987e-09,8.7471230412971606e-12,1.6718828084820892e-15,8.7471428553853907e-12,1.2085165171844117e-15,3.6266806882846211e-16,1.1576845495036156e-29,1.0317642880315565e-28,2.2112092726013402e-32,3.7646150809078642e-46,9.8871261600402577e-49,2.9378869362776464e-51,1.0329052981174695e-52,2.3280977512110107e-53,1.4022566027794433e-33,5.8209818162430365e-35,1.3208466474973391e-49,1.4476619821511295e-47
8.996927734460617e-12,0.11224537220451232,0.0,0.0,0.0,0.0,0.99999999635597725,3.6206909555441224e-09,1.1663134385287762e-11,2.8434345772513492e-15,1.1663168130681543e-11,2.0554037251859715e-15,6.1681373967023718e-16,3.1350825818616447e-29,2.169001865054366e-28,5.544492424475983e-32,1.3846056678324792e-45,3.9112055133042152e-48,1.2048899594613264e-50,4.636589118201383e-52,1.045052106200874e-52,4.3990839178634182e-33,1.8259991036318989e-34,5.519477041166676e-49,5.2344934268615937e-47
1e-11,0.11224537225564044,0.0,0.0,0.0,0.0,0.99999999594970246,4.0243634060440146e-09,1.2963617370927216e-11,3.4720239327226726e-15,1.2963658603320077e-11,2.50980501297586e-15,7.5317685018401691e-16,4.6387399849851147e-29,2.8894336377160556e-28,7.9750619380006455e-32,2.3924674753220873e-45,7.0012237735699912e-48,2.1856098043429162e-50,8.8181067942931922e-52,1.9875306763571503e-52,6.9964341200642142e-33,2.9040059220900896e-34,1.014399992889064e-48,8.9905844931366259e-47
1.1246159787244374e-11,0.11224537225564044,0.0,0.0,0.0,0.0,0.99999999544496987,4.5258629495084798e-09,1.4579308318743639e-11,4.3441252057120463e-15,1.4579359947295184e-11,3.1402450659626539e-15,9.4236818733435075e-16,7.0410478737268274e-29,3.9676918388095777e-28,1.1805773927925018e-31,4.1242304554234895e-45,1.2375182292130518e-47,3.8975164627675041e-50,1.6224870813718844e-51,3.6569513820374093e-52,1.1306556833084565e-32,4.6928472569981276e-34,1.8253788980650266e-48,1.5433129116119065e-46
1.5744623892811887e-11,0.11224537235789678,0.0,0.0,0.0,0.0,0.99999999362295333,6.3362059256015153e-09,2.0412154112814359e-11,8.3535970352597345e-15,2.0412253719315646e-11,6.0388144674234328e-15,1.8122126991523499e-15,2.7278740742484904e-28,1.060047059756076e-27,4.373395115254327e-31,3.451394025061488e-44,1.0335094409197059e-46,3.5419300798086505e-49,2.1647631301446519e-50,4.8790909851433613e-51,6.3731564857718075e-32,2.6443629048056958e-33,2.3623487854242116e-47,1.3865886675285602e-45
2.4741552103946916e-11,0.11224537256240978,0.0,0.0,0.0,0.0,0.99999998997891271,9.956887855091688e-09,3.2079824918090769e-11,2.0380237157711447e-14,3.2080069643184691e-11,1.4734109842904901e-14,4.4216287170942926e-15,1.7505826156560157e-27,4.1990669563737856e-27,2.8400561342150307e-30,6.3964525739492256e-43,1.8151785579172674e-45,6.6699315312811022e-48,7.1275913974701558e-49,1.6063826711594319e-49,7.1203165613066715e-31,2.9520341046099539e-32,8.2296886463977734e-46,3.0988974521690678e-44
4.273540852621697e-11,0.11224537297143715,0.0,0.0,0.0,0.0,0.99999998269080004,1.7198235609988049e-08,5.5423087196657427e-11,6.0477171824941658e-14,5.5423824069008588e-11,4.373031700868108e-14,1.3123294920678253e-14,1.6520920572550427e-26,2.3156325915866704e-26,2.8761627724545839e-29,2.1559389383257818e-41,5.7346249790445506e-44,2.1992668127836701e-46,4.4206731937808784e-47,9.9620533578723066e-48,1.2804233749162517e-29,5.299634920129406e-31,5.5081894146322284e-44,1.2873609990358681e-42
7.872312137075708e-11,0.11224537378949705,0.0,0.0,0.0,0.0,0.9999999681144508,3.1680866719439677e-08,1.0214126455866816e-10,2.0482637728937837e-13,1.0214383373736655e-10,1.4816059672856865e-13,4.4462818735129486e-14,1.9732576331632979e-25,1.6154098154811948e-25,3.8691165856171322e-28,1.0395594744473549e-39,2.669441082689375e-42,1.0478145604518174e-44,4.0879298261664268e-45,9.2102641812638522e-46,3.0041011348735071e-28,1.2391838324690359e-29,5.3605734783258932e-42,7.863427589919383e-41
9.999999999999999e-11,0.1122453746075639,0.0,0.0,0.0,0.0,0.99999995949645315,4.0243337249022019e-08,1.297821151410236e-10,3.30407759810411e-13,1.297863244188065e-10,2.3904644747986976e-13,7.1737928684227493e-14,5.0221738197872137e-25,3.4280329543130084e-25,1.0078580881478827e-27,3.9364500289345147e-39,1.0943719736748903e-41,4.3095492367783513e-44,1.9133318414526864e-44,4.310576261259175e-45,9.2191113659965457e-28,3.7981077304942662e-29,2.3523035344180279e-41,3.1394425577545362e-40
1.1471083421529719e-10,0.1122453746075639,0.0,0.0,0.0,0.0,0.99999995353793558,4.616341195487023e-08,1.489016203903218e-10,4.3471860206913888e-13,1.4890720556285121e-10,3.1454818909086877e-13,9.4396301793164322e-14,7.9904982582959519e-25,5.1133797394460369e-25,1.6149804586617109e-27,6.9365649930525068e-39,1.9588766645958778e-41,7.7184356435571154e-44,3.5034235803064822e-44,7.8928510760904048e-45,1.5477801791711341e-27,6.3744973832094258e-29,4.2609350887259932e-41,5.5901174450747926e-40
1.866862599043774e-10,0.11224537624371844,0.0,0.0,0.0,0.0,0.99999992438440788,7.5128244777915662e-08,2.4254866427218824e-10,1.1511252414906798e-12,2.4256423120309952e-10,8.3347897763944277e-13,2.5013289144798788e-13,5.6452853064678398e-24,2.5443908915583612e-24,1.3177241325135796e-26,1.6630749723428558e-37,4.8472477278301172e-40,1.9265163307737011e-42,1.5116202108514737e-42,3.4042628248586367e-43,1.8333988668337479e-26,7.5070723178246393e-28,1.7913309391381566e-39,1.6877425873002586e-38
2.514641430245496e-10,0.11224537771628139,0.0,0.0,0.0,0.0,0.99999989814566503,1.0119630057619161e-07,3.2697486499885779e-10,2.088438810611178e-12,3.2700423090622794e-10,1.5129594428790516e-12,4.5405708391564185e-13,1.7139609804998514e-23,6.6181495293129943e-24,4.2606189068148135e-26,8.2731466688713074e-37,2.5863837241610182e-39,1.0293717252716792e-41,9.00543081506346e-42,2.0279086502167534e-42,6.8010271697441543e-26,2.7774118759524973e-27,1.0144439355004283e-38,8.9698112555714408e-38
3.1624202614472177e-10,0.1122453791888669,0.0,0.0,0.0,0.0,0.99999987190638417,1.2726407805533935e-07,4.1153711006796148e-10,3.3028995401168389e-12,4.1158532321592308e-10,2.3940519634737743e-12,7.184956194970057e-13,4.0848471421929074e-23,1.4086328428107192e-23,1.0859338752625417e-25,2.8851606990735419e-36,9.6266343811735939e-39,3.8377544781632106e-41,3.902841078075508e-41,8.7874724994879589e-42,1.9352309623429033e-25,7.8797290183431145e-27,4.1691465572906915e-38,3.3431993151252949e-37
3.8101990926489395e-10,0.1122453806614751,0.0,0.0,0.0,0.0,0.99999984566656497,1.53331577182624e-07,4.9623518405612653e-10,4.7945049143504517e-12,4.9630772016481769e-10,3.477065257510558e-12,1.0435447461133012e-12,8.2975533105023738e-23,2.6302601008589032e-23,2.3471437000332838e-25,8.3660161739519613e-36,2.9415100023799963e-38,1.1736557671642905e-40,1.3226365888399206e-40,2.9776507663887456e-41,4.5461438281745073e-25,1.8458922327422604e-26,1.3529307319103662e-37,1.0260549942542899e-36
4.4579779238506614e-10,0.11224538213410591,0.0,0.0,0.0,0.0,0.99999981942620686,1.7939879792385898e-07,5.8106886311482266e-10,6.5632523804878382e-12,5.8117164213447767e-10,4.7623206436636473e-12,1.4293049438130283e-12,1.5112019153202111e-22,4.4882790771497156e-23,4.5391972374819104e-25,2.095838266665043e-35,7.6941855463066465e-38,3.0722824206802218e-40,3.7944117311256489e-40,8.54142411398122e-41,9.3944861071767826e-25,3.8040116741320601e-26,3.7435179279547844e-37,2.7028416356710381e-36
5.753535586254105e-10,0.11224538507943572,0.0,0.0,0.0,0.0,0.99999976694387283,2.3153240412534891e-07,7.5114223676153559e-10,1.0932164587335429e-11,7.513248485242725e-10,7.9407081087724141e-12,2.3833199343054171e-12,3.9953531149837628e-22,1.0819066088131284e-22,1.3437717571628038e-24,9.8011934997467353e-35,3.8540135570530261e-37,1.5408284809650042e-39,2.2523584811411614e-39,5.0690365516400387e-40,3.0685453412166043e-24,1.2357000714645189e-25,2.0918905112856259e-36,1.3817445836720847e-35
7.049093248657549e-10,0.1122453880248566,0.0,0.0,0.0,0.0,0.99999971445937863,2.836648963862383e-07,9.2175545348103123e-10,1.6409616113551754e-11,9.2204669251880516e-10,1.1931773924830223e-11,3.5813463503848589e-12,8.6763891726723164e-22,2.2089564910304745e-22,3.229777454524199e-24,3.2536547455103171e-34,1.3537273381457282e-36,5.4162034266279951e-39,8.9505175652460774e-39,2.0139941332283606e-39,7.8879454338854078e-24,3.1605820576528594e-25,7.983852127178922e-36,4.8751455370165208e-35
8.344650911060993e-10,0.11224539097036887,0.0,0.0,0.0,0.0,0.99999966197272194,3.3579627441767217e-07,1.0929066473950869e-09,2.2995585863239867e-11,1.0933390111104002e-09,1.6738212068219728e-11,5.024237281247011e-12,1.6572728991892433e-21,4.0416843165623364e-22,6.795708710680447e-24,8.949480117004808e-34,3.9116159268421599e-36,1.5659397026287259e-38,2.8818472047650476e-38,6.4834073730929682e-39,1.7442162166356225e-23,6.9540162340323774e-25,2.4755165661883412e-35,1.4110358880437612e-34
9.640208573464437e-10,0.11224539391597274,0.0,0.0,0.0,0.0,0.99999960948389888,3.8792653793585705e-07,1.2645939989549567e-09,3.0690053171936519e-11,1.2652035954872798e-09,2.236265865650752e-11,6.7128338083686989e-12,2.8870601880086442e-21,6.8302202792813173e-22,1.3012282890833525e-23,2.1790327605945047e-33,9.9154962370646098e-36,3.9715684202369126e-38,8.1139348477084653e-38,1.8250778407844125e-38,3.4693549377620784e-23,1.3760254487089416e-24,6.734802990736472e-35,3.5970369371958502e-34
9.999999999999999e-10,0.11224539686166848,0.0,0.0,0.0,0.0,0.99999959490675783,4.0240352047145982e-07,1.3123684601434278e-09,3.3023560580088767e-11,1.3130341516562408e-09,2.4070105765293479e-11,7.225479723433321e-12,3.3244720706410416e-21,7.8126105981690921e-22,1.5383469427059127e-23,2.7496611789142694e-33,1.2642435836096164e-35,5.0645306612288854e-38,1.0681444121768576e-37,2.4024381024659877e-38,4.1386898110763323e-23,1.6389667621436293e-24,8.7826630984725157e-35,4.5978881724850279e-34
1.0935766235867882e-09,0.11224539686166848,0.0,0.0,0.0,0.0,0.99999955699290688,4.4005568666498773e-07,1.4368157529569599e-09,3.9492997980545749e-11,1.4376421732707437e-09,2.8807665454248248e-11,8.6479563135456384e-12,4.6891046636977935e-21,1.0859668963652843e-21,2.3174956049184863e-23,4.8254033492848102e-33,2.2692801951734466e-35,9.0934704402657838e-38,2.0590698620456667e-37,4.6305424785947287e-38,6.3627372946861363e-23,2.5099071808335002e-24,1.6596885774947813e-34,8.3059811953025247e-34
1.352688156067477e-09,0.11224540275333679,0.0,0.0,0.0,0.0,0.99999945200440288,5.4431063865402841e-07,1.7828555060162649e-09,6.0424239910640093e-11,1.7842481608944291e-09,4.4169516873738777e-11,1.3261069493920759e-11,1.0592419429908403e-20,2.3950830508859019e-21,6.2448498590364884e-23,1.9201794356504228e-32,9.5766602590452009e-35,3.8405022903767313e-37,1.0992026761284225e-36,2.4703883936576489e-37,1.7823776417373716e-22,6.9472630287041344e-24,8.3920049674622113e-34,3.5825662396048944e-33
1.5731289081741674e-09,0.11224540776600214,0.0,0.0,0.0,0.0,0.99999936267791978,6.3300267613349788e-07,2.0789181102140005e-09,8.1722131981597292e-11,2.080948421307356e-09,5.9845755031651204e-11,1.7969533520156058e-11,1.8824490315691645e-20,4.2222400605829015e-21,1.2720658702153957e-22,5.0818839043302514e-32,2.6409461599398503e-34,1.059523811633192e-36,3.5160530184972365e-36,7.8985802574264279e-37,3.6999449282104926e-22,1.4275482727381441e-23,2.5996561940401564e-33,9.977019273142505e-33
1.7935696602808578e-09,0.1122454127789372,0.0,0.0,0.0,0.0,0.99999927334511562,7.2169148239770931e-07,2.3765044955773883e-09,1.0622895500569807e-10,2.3793334916495102e-09,7.7931920067031336e-11,2.3402944570985427e-11,3.0925948353730215e-20,6.9293539286844889e-21,2.3683234084046449e-22,1.1796739114394836e-31,6.3753078592588771e-34,2.5584937787765779e-36,9.6426860873980432e-36,2.1651907396241934e-36,6.9605013648513358e-22,2.6584653722514642e-23,6.9198473771058967e-33,2.4158958201409428e-32
2.014010412387548e-09,0.11224541779214327,0.0,0.0,0.0,0.0,0.99999918400597543,8.1037705608665729e-07,2.6756063152698857e-09,1.3394461032844423e-10,2.6794115818964459e-09,9.844035782694434e-11,2.9565419416105452e-11,4.7837299514419421e-20,1.0758042038285172e-20,4.1115425489126844e-22,2.4799728447658535e-31,1.3899591649258142e-33,5.5793953331385896e-36,2.3456218403119086e-35,5.2646360761551867e-36,1.2139578011468524e-21,4.5900306391552662e-23,1.6373128719417482e-32,5.2608636239333417e-32
2.2344511644942386e-09,0.11224542280562158,0.0,0.0,0.0,0.0,0.99999909466048453,8.9905939583798513e-07,2.9762152944675622e-09,1.6486899922844812e-10,2.9811908295590746e-09,1.213833689244203e-10,3.6461101863381014e-11,7.0557617264341916e-20,1.5978344335297007e-20,6.7513819978121092e-22,4.8230893198776433e-31,2.7981207375803293e-33,1.1233977790816623e-35,5.2045962744601906e-35,1.1676518602787706e-35,1.9943550744405639e-21,7.4653430632107702e-23,3.5381494776640073e-32,1.0546416818698171e-31
2.6753326687076194e-09,0.11224543283340016,0.0,0.0,0.0,0.0,0.99999891595039092,1.0764143680905889e-06,3.5819221424022855e-09,2.3634358432766318e-10,3.5898848370073698e-09,1.7462186715966999e-10,5.246872788908866e-11,1.3765395538882339e-19,3.1812705266223315e-20,1.6019415061322421e-21,1.5336323134205603e-30,9.5280188686162099e-33,3.8264967421741317e-35,2.1301664833102483e-34,4.7744359592089841e-35,4.6958394312215792e-21,1.7224577776673352e-22,1.369242499882074e-31,3.5362277392921106e-31
