Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51)
9.977658998541783e-16,0.11224537200002269,0.0,0.0,0.0,0.0,0.99999999999959588,4.0153760514297824e-13,1.2932944044968284e-15,4.3846258539182233e-23,1.2932944050133303e-15,3.1691900467223799e-23,9.5105202675515342e-24,1.0828151424658723e-44,5.382933614019155e-40,2.5896952594229787e-47,1.7636836485793628e-68,2.9721271067525407e-71,9.8774569417002039e-77,9.4148786792071507e-79,2.1221087596631149e-79
1.9959650458654795e-15,0.11224537200004539,0.0,0.0,0.0,0.0,0.99999999999919142,8.0324956434695333e-13,2.587150421774482e-15,1.7544214653863652e-22,2.5871504238411647e-15,1.2680888430211443e-22,3.8054469656061617e-23,1.7335111849792288e-43,4.3079951841660081e-39,4.1452104085651829e-46,1.129475767325255e-66,1.9038324376474188e-69,1.2643933931820055e-74,1.2061715941933649e-76,2.7187044786852992e-77
3.9923633378880815e-15,0.11224537200009072,0.0,0.0,0.0,0.0,0.99999999999838318,1.6066734824908435e-12,5.1748625864011015e-15,7.0188282710245734e-22,5.1748625946691992e-15,5.073181247670214e-22,1.522426626837412e-22,2.7744221965147296e-42,3.4470703814175815e-38,6.6337229056977857e-45,7.2309659628553058e-65,1.2189863682175447e-67,1.6164792869397362e-72,1.5445811729960572e-74,3.4814778419478936e-75
7.985159921933286e-15,0.11224537200018152,0.0,0.0,0.0,0.0,0.9999999999967657,3.2135213177223783e-12,1.0350287435939526e-14,2.8077598058744093e-21,1.0350287469014766e-14,2.0294377733928483e-21,6.0902024924975472e-22,4.4397141671158322e-41,2.7579496700142473e-37,1.0615153851725077e-43,4.6285890257139462e-63,7.8032031739409811e-66,2.0627710961774923e-70,1.9774957702374619e-72,4.4572649107485389e-73
1.5970753090023696e-14,0.11224537200036304,0.0,0.0,0.0,0.0,0.9999999999935314,6.4272169839604736e-12,2.0701139216156704e-14,1.1231496229072887e-20,2.0701139348464354e-14,8.1180823535525208e-21,2.4361804124885737e-21,7.1040379729764818e-40,2.2065149167815804e-36,1.6985485791163033e-42,2.9625794092447929e-61,4.9945696868039558e-64,2.6234488332968792e-68,2.5314602619009719e-70,5.7058975162068169e-71
3.194193942620452e-14,0.11224537200072607,0.0,0.0,0.0,0.0,0.99999999998706268,1.2854608299536763e-11,4.1402851101148903e-14,4.4926898898706734e-20,4.1402851630400683e-14,3.2472997542493604e-20,9.7449222039073785e-21,1.1366806910406419e-38,1.7653345335562472e-35,2.7178670789277358e-41,1.8961869643612456e-59,3.1966663819219813e-62,3.3150397390142886e-66,3.2404144720386973e-68,7.3038753803837443e-69
6.388431209856616e-14,0.11224537200145218,0.0,0.0,0.0,0.0,0.99999999997412503,2.5709390863089726e-11,8.2806308169337234e-14,1.7970942321587065e-19,8.2806310286449075e-14,1.2989337121074777e-19,3.8980103682631152e-20,1.8187007644932796e-37,1.4124135096739694e-34,4.3490273842415526e-40,1.2136617940258321e-57,2.0458873154318495e-60,4.1370324409760361e-64,4.1477740848719272e-66,9.3490560388253654e-67
1.2776905744328945e-13,0.11224537200290437,0.0,0.0,0.0,0.0,0.99999999994824984,5.1418955719797175e-11,1.6561335549830962e-13,7.1884134524137387e-19,1.656133639674656e-13,5.1957660511530696e-19,1.559213545127486e-19,2.9098792434280975e-36,1.1301441084441108e-33,6.9597192989485846e-39,7.7685119603128272e-56,1.3093590821120664e-58,5.0427639509554383e-62,5.309116387122269e-64,1.1966707356932725e-64
2.55538548132736e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808435161796e-10,3.3122798292487776e-13,2.8753726626938088e-18,3.3122801680691181e-13,2.0783155264408504e-18,6.2368817797911408e-19,4.6556090196746315e-35,9.0444852133335404e-33,1.1139526244998752e-37,4.9731514587509146e-54,1.1073421498213477e-56,7.7730114843157853e-60,8.9629152909146966e-62,2.020231878710787e-62
5.110775295116291e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.0567633728888159e-10,6.6245936883842949e-13,1.1501505029898316e-17,6.624595044093319e-13,8.3133032409789201e-18,2.4947652746991614e-18,7.4482909477920534e-34,7.2408876807691991e-32,1.7835878085595008e-36,3.184461709848449e-52,7.1154541740752304e-55,8.5209743902479267e-58,1.1540014308743747e-59,2.6011014775890595e-60
1e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243664440593786e-10,1.2962121937503298e-12,4.4510257763436079e-17,1.2962127187290349e-12,3.2172309201692175e-17,9.6546909674112467e-18,1.1430804105002277e-32,5.5810819298335455e-31,2.7416229890944409e-35,1.9530908465882879e-50,4.3631755803915184e-53,8.0549621004636094e-56,1.4148168756448287e-57,3.1889611109981193e-58
1.0221554922694153e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999958599728,4.1135282585788494e-10,1.3249306647945781e-12,4.6006047403058798e-17,1.3249312074192741e-12,3.3253478618053418e-17,9.9791425684178458e-18,1.191503841820366e-32,5.8011762820715949e-31,2.8577771521205197e-35,2.0401520036224107e-50,4.5576682549400399e-53,8.4161109479082687e-56,1.4784062819957131e-57,3.3322900038758548e-58
2.0443114177849876e-12,0.11224537204646991,0.0,0.0,0.0,0.0,0.99999999917199411,8.2270573377369644e-10,2.6499073523221626e-12,1.8402423238083281e-16,2.6499095255474571e-12,1.3301591281388397e-16,3.991718397603502e-17,1.9056906399069256e-31,4.6544810335247549e-30,4.5853546923104269e-34,1.3083752199025867e-48,2.9231699295478215e-51,7.4023432568132355e-54,1.8964068403757788e-55,4.2744140584238912e-56
3.06646734330056e-12,0.1122453720697049,0.0,0.0,0.0,0.0,0.99999999875799084,1.234058572424602e-09,3.974918134427013e-12,3.9105150767246278e-16,3.9749227565342141e-12,2.8266171406144138e-16,8.4824906624575336e-17,7.2641839207467834e-31,1.3334758255744391e-29,1.6903337981788929e-33,7.3023651619898529e-48,1.4513862536182967e-50,3.9359233818178859e-53,1.1238878038074671e-54,2.5331840710730224e-55
4.0886232688161325e-12,0.11224537209293983,0.0,0.0,0.0,0.0,0.99999999834398745,1.6454113418104659e-09,5.2999630102082845e-12,6.6708786336756452e-16,5.2999709012669093e-12,4.8219216594202097e-16,1.4470270494635595e-16,1.9541982907844495e-30,2.8187085756867475e-29,4.2941159192239122e-33,2.7561609504258585e-47,6.1490726610124176e-50,1.6973668091674526e-52,5.0820037041826857e-54,1.1454550877288776e-54
6.1329351198472774e-12,0.11224537213940981,0.0,0.0,0.0,0.0,0.99999999751598045,2.4681167179096238e-09,7.9501327743893846e-12,1.38112063200831e-15,7.9501491335492431e-12,9.9833327215080618e-16,2.9959337621817827e-16,7.9022903983342633e-30,7.7354540542164123e-29,1.5071032790387042e-32,2.0082505738694655e-46,5.5669022137034158e-49,1.6114431783355224e-51,5.286449133616769e-53,1.1915324471525306e-53
8.177246970878423e-12,0.11224537218587981,0.0,0.0,0.0,0.0,0.99999999668797257,3.2908218392402077e-09,1.0600427905518423e-11,2.3489243222126017e-15,1.0600455763318539e-11,1.697928692770063e-15,5.0953763160639683e-16,2.1400763441919058e-29,1.625480534241092e-28,3.7778008515113125e-32,7.3972019715972489e-46,2.2015852876014934e-48,6.6242373175825463e-51,2.3724337454492928e-52,5.3473013528749847e-53
1e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999594970268,4.0243634320196042e-09,1.2963604551015202e-11,3.4460798722094809e-15,1.2963645479365941e-11,2.4910538870113987e-15,7.4754977553856977e-16,4.9975085700347745e-29,2.9079928706193763e-28,8.4330546252646098e-32,3.2106843192251437e-45,9.6254196877091633e-48,3.1528677930276736e-50,1.6072726809379696e-51,3.6226150457291849e-52
1.2265870672940713e-11,0.11224537227881987,0.0,0.0,0.0,0.0,0.99999999503195569,4.9362312455180166e-09,1.5901429792354214e-11,5.1178262961898654e-15,1.5901490672669263e-11,3.699572504211333e-15,1.1102191985961406e-15,1.0723328022373419e-28,5.1895603473638163e-28,1.7677547968166327e-31,8.8984787338708925e-45,2.6683728047745697e-47,8.934561940251899e-50,4.8949553415522914e-51,1.103265500877091e-51
1.6354494375003003e-11,0.11224537237175995,0.0,0.0,0.0,0.0,0.99999999337593692,6.5816395492361631e-09,2.1202974246083291e-11,8.9851792500545938e-15,2.1203081439123979e-11,6.4954253869330878e-15,1.949239241568587e-15,3.2152315361093205e-28,1.1915116887419418e-27,5.1661702470152461e-31,4.131684635123591e-44,1.2831455081748058e-46,4.4327039183797851e-49,2.8473062897067852e-50,6.4174333893400858e-51
2.4531741779127582e-11,0.11224537255764047,0.0,0.0,0.0,0.0,0.99999999006389273,9.8724528337484605e-09,3.1807698057732671e-11,2.0030416185552639e-14,3.1807938516617891e-11,1.4481155694842537e-14,4.3457181594647518e-15,1.6606479081128983e-27,4.0625646225088686e-27,2.6777202616252673e-30,5.3271262429656651e-43,1.6259315399483015e-45,5.9423775048852171e-48,5.9607999313003604e-49,1.3434274288750571e-49
4.088623658737674e-11,0.1122453729294026,0.0,0.0,0.0,0.0,0.99999998343977836,1.6454066107411663e-08,5.3023685056594188e-11,5.5366366802706341e-14,5.3024358436171507e-11,4.0033873349972597e-14,1.2014000160009171e-14,1.3519725726619653e-26,1.9927741571891509e-26,2.3095515458817191e-29,1.4304107675904885e-41,4.1488668659853332e-44,1.5845072894131283e-46,2.9230413624495941e-47,6.5872415130421314e-48
7.359522620387506e-11,0.11224537367293111,0.0,0.0,0.0,0.0,0.99999997019144737,2.9617239456706103e-08,9.5481808182295019e-11,1.7903424946764806e-13,9.5484043720812285e-11,1.2949661650961225e-13,3.8861722517494916e-14,1.486307642536069e-25,1.2905996372416718e-25,2.8388796148842167e-28,6.1171817060381799e-40,1.7012442195286678e-42,6.6623105289108983e-45,2.3724177718990082e-45,5.3453536743700861e-46
9.999999999999999e-11,0.11224537441646537,0.0,0.0,0.0,0.0,0.99999995949645304,4.0243337244867269e-08,1.2978212068084254e-10,3.3041243423995463e-13,1.2978632356631615e-10,2.3904516308176435e-13,7.1737503225969996e-14,4.7890990544912792e-25,3.3371088297785615e-25,9.3968641903893532e-28,3.1185521453181916e-39,9.3958636897955697e-42,3.6942933192236111e-44,1.5218585730627724e-44,3.4287466200794148e-45
1.0630421582037338e-10,0.11224537441646537,0.0,0.0,0.0,0.0,0.99999995694297927,4.2780341871515431e-08,1.3797477714708254e-10,3.7336396910381939e-13,1.379795430462038e-10,2.7013157024732846e-13,8.1066636135961857e-14,5.869883379030286e-25,3.9796932147476259e-25,1.1550836815195437e-27,3.9845257801995023e-39,1.2072486977252912e-41,4.7479206077102987e-44,1.9732828809295673e-44,4.4457913282532094e-45
1.7172219505337e-10,0.11224537590355112,0.0,0.0,0.0,0.0,0.99999993044563207,6.9106333867506753e-08,2.2306510529585151e-10,9.7401458264213349e-13,2.2307813617674066e-10,7.0513898843568646e-13,2.1161625667698324e-13,4.0446497291645617e-24,1.9205157754290573e-24,9.1018062493667729e-27,9.1279295369225578e-38,2.8244753516544574e-40,1.1212887650353555e-42,8.0212647624191073e-43,1.8065782472633616e-43
2.3714017428636665e-10,0.11224537739065987,0.0,0.0,0.0,0.0,0.99999990394773663,9.5432042061638638e-08,3.082944642510696e-10,1.8573183627207925e-12,3.0832034240550785e-10,1.3453530841077485e-12,4.0375482555010538e-13,1.3704837958109844e-23,5.4403874916724994e-24,3.3193095332853251e-26,5.1932044473432424e-37,1.7239408210274516e-39,6.8589118136431374e-42,5.7983599113466396e-42,1.3057593428961713e-42
3.025581535193633e-10,0.11224537887779167,0.0,0.0,0.0,0.0,0.99999987744929264,1.2175746641897378e-07,3.9366262991039255e-10,3.0232736310355286e-12,3.9370638325040915e-10,2.1910958139251787e-12,6.5758232845179838e-13,3.441120613160567e-23,1.2085044214686598e-23,8.8854714982247496e-26,1.9952320320918054e-36,7.0700245135640751e-39,2.8166177169248821e-41,2.6884604602666101e-41,6.0536002879552254e-42
3.679761327523599e-10,0.11224538036494656,0.0,0.0,0.0,0.0,0.99999985095029942,1.4808260690417794e-07,4.791693723662616e-10,4.4718780986152474e-12,4.792364853967349e-10,3.2426970987563532e-12,9.7320153431983266e-13,7.2448473728237372e-23,2.3231785854710234e-23,1.9897280506981646e-25,6.1328575180646778e-36,2.2928322999905433e-38,9.1437692202746738e-41,9.6897067733590763e-41,2.1815993238999763e-41
4.988120912183531e-10,0.11224538333932566,0.0,0.0,0.0,0.0,0.99999979795066474,2.0073203612834619e-07,6.5059774055925751e-10,8.2170253180709563e-12,6.5072970792328132e-10,5.9646921914853329e-12,1.7901958507687907e-12,2.3123867086257203e-22,6.54275707073992e-23,7.16100443581048e-25,3.8689635725558121e-35,1.5695688807227858e-37,6.2709146564810744e-40,8.1628132244042638e-40,1.8373963804183817e-40
6.296480496843464e-10,0.11224538631379748,0.0,0.0,0.0,0.0,0.99999974494882871,2.5338032945324297e-07,8.2257774017241384e-10,1.3092739911434194e-11,8.2280181102453235e-10,9.5139677396263546e-12,2.8555623586379011e-12,5.6324508323996902e-22,1.4712293628983004e-22,1.9346089009607553e-24,1.5013401880281524e-34,6.4644867935358481e-37,2.584683449124752e-39,3.8227000971732855e-39,8.6031933117895343e-40
7.604840081503397e-10,0.11224538928836236,0.0,0.0,0.0,0.0,0.99999969194478855,3.060274865834448e-07,9.9510745718910312e-10,1.9099000509405265e-11,9.9545467940983401e-10,1.3893282722677476e-11,4.1701713592130389e-12,1.1632921097788525e-21,2.8765276294768996e-22,4.4072455788355994e-24,4.5945123399743633e-34,2.085392668599784e-36,8.3441367680733537e-39,1.3783789921292191e-38,3.1015977543465067e-39
8.91319966616333e-10,0.1122453922630205,0.0,0.0,0.0,0.0,0.9999996389385416,3.586735072263085e-07,1.1681850080868563e-09,2.6235785735034141e-11,1.1686901673102654e-09,1.9105361217762321e-11,5.7348887414714097e-12,2.1467901715145402e-21,5.1060230166325889e-22,8.960023036214942e-24,1.2176594425067563e-33,5.7656379890420055e-36,2.3083539760752724e-38,4.2588985521511069e-38,9.5815607325721961e-39
9.999999999999999e-10,0.11224539643921484,0.0,0.0,0.0,0.0,0.99999959490675816,4.0240352048941835e-07,1.312368634977032e-09,3.3023571676358761e-11,1.3130339886487049e-09,2.4069863324145359e-11,7.2254006546842954e-12,3.3550295682749272e-21,7.7940938477630493e-22,1.5267103092769969e-23,2.6279567632484776e-33,1.282704509338626e-35,5.13872466438262e-38,1.0876643693592009e-37,2.4464378484787551e-38
1.0749967806374531e-09,0.11224539643921484,0.0,0.0,0.0,0.0,0.99999956452087524,4.3257981315061298e-07,1.4120845297028985e-09,3.8162477228469943e-11,1.4128769245508505e-09,2.783261554291837e-11,8.3551795107187147e-12,4.4406886185930609e-21,1.0185650594494213e-21,2.1379878113270865e-23,4.2115554459224263e-33,2.085273349114912e-35,8.3566901038304798e-38,1.8934036038903212e-37,4.2583052833627395e-38
1.2586735946585733e-09,0.11224540061559443,0.0,0.0,0.0,0.0,0.99999949009884337,5.064838778838396e-07,1.6570552368753095e-09,5.2317169825712381e-11,1.6582203203109116e-09,3.8213516445035451e-11,1.147238982538591e-11,8.1671791369229652e-21,1.8336271824533694e-21,4.4983175602704483e-23,1.1974494175956244e-32,6.1483614986463332e-35,2.465517530990384e-37,6.9300672962929063e-37,1.5575491684451708e-37
1.6260272227008134e-09,0.1122454089689121,0.0,0.0,0.0,0.0,0.99999934124165024,6.5428528063845214e-07,2.1501905550785359e-09,8.7310330105765397e-11,2.1523963652074577e-09,6.3965050295526648e-11,1.9206980207527963e-11,2.1815728277742201e-20,4.8153289488738174e-21,1.5301732501941074e-22,6.564006980618579e-32,3.6066953907879028e-34,1.4473953445101453e-36,5.5052957640836607e-36,1.23602934584265e-36
1.955816143309083e-09,0.11224541646867789,0.0,0.0,0.0,0.0,0.99999920759127892,7.8696521941469778e-07,2.5965000545267458e-09,1.2631622167549305e-10,2.600028347003817e-09,9.2789673546199297e-11,2.7867416529086538e-11,4.3900270113742602e-20,9.6892936824143292e-21,3.6771755563024924e-22,2.1340496521557059e-31,1.2283483817556256e-33,4.9310894773131082e-36,2.2101059147746306e-35,4.9586416988578816e-36
2.2856050639173523e-09,0.11224542396905235,0.0,0.0,0.0,0.0,0.99999907392670218,9.1963792096896246e-07,3.0461876165825798e-09,1.7250378451886252e-10,3.0514630277991427e-09,1.2705602670024059e-10,3.8166428939045877e-11,7.8728680068173112e-20,1.7502805337496024e-20,7.676063850338357e-22,5.6423874159744583e-31,3.3983599508071757e-33,1.3645246346960484e-35,6.869164748280671e-35,1.5403327473126245e-35
2.6153939845256217e-09,0.11224543147003978,0.0,0.0,0.0,0.0,0.9999989402478705,1.0523033807495476e-06,3.4992258838390147e-09,2.2587268918439941e-10,3.5067273055352825e-09,1.668049838444797e-10,5.0117928580934809e-11,1.300022471960318e-19,2.9251813066980555e-20,1.4543290545098889e-21,1.3157979101450561e-30,8.2760953779274925e-33,3.3236592405651304e-35,1.8543857881939396e-34,4.1560335135074652e-35
2.945182905133891e-09,0.11224543897164442,0.0,0.0,0.0,0.0,0.99999880655473439,1.1849615942052144e-06,3.9555879614081501e-09,2.8642260682514466e-10,3.9658476144977514e-09,2.1207706078351263e-10,6.3735931102073972e-11,2.0168592627529532e-19,4.6081115371962145e-20,2.5631304302118447e-21,2.7966668837409396e-30,1.8317453823530184e-32,7.3573708318708696e-35,4.5256667754185784e-34,1.013733449451866e-34
3.2749718257421606e-09,0.11224544647387047,0.0,0.0,0.0,0.0,0.99999867284724553,1.3176125567852789e-06,4.4152473647790619e-09,3.5415320917608979e-10,4.4288499775888818e-09,2.629124546897945e-10,7.9034544107189589e-11,2.9791979582167945e-19,6.9266961436211026e-20,4.2650449617057234e-21,5.5056213780381956e-30,3.7468944344766596e-32,1.5051724749270495e-34,1.0160386385144768e-33,2.2745982915208026e-34
3.60476074635043e-09,0.11224545397672213,0.0,0.0,0.0,0.0,0.99999853912535508,1.4502562639393767e-06,4.8781780023260745e-09,4.2906416853514335e-10,4.8957600238170181e-09,3.193510585596167e-10,9.6027964133416702e-11,4.2298522117115907e-19,1.0021174069080217e-19,6.7702454757668122e-21,1.0173231105180086e-29,7.1749133950310873e-32,2.8825683166706614e-34,2.125673073530917e-33,4.7559003527784228e-34
4.264338587566969e-09,0.11224546898431914,0.0,0.0,0.0,0.0,0.99999827163817367,1.7155218937687773e-06,5.8137506360769157e-09,6.0042585037817331e-10,5.8414036535943012e-09,4.4919590672839872e-10,1.3515647387599831e-10,7.7739473204175816e-19,1.9164016987199813e-19,1.5261762011412837e-20,2.980960999879664e-29,2.261159505812713e-31,9.0859941099321314e-34,7.9628395354127141e-33,1.7790739634624752e-33
4.923916428783508e-09,0.11224548399446815,0.0,0.0,0.0,0.0,0.99999800409280559,1.9807584472938936e-06,6.7621051142200437e-09,8.0050504240718377e-10,6.8029755296340468e-09,6.0192458001244117e-10,1.8123685296602968e-10,1.3016242625461255e-18,3.3415637278093166e-19,3.0661689204418492e-20,7.4353185122914204e-29,6.0251187898140627e-31,2.4213805759825089e-33,2.4534328383775928e-32,5.4740733347918961e-33
5.583494270000047e-09,0.11224549900720161,0.0,0.0,0.0,0.0,0.99999773648886814,2.245965888117888e-06,7.7230469277134448e-09,1.0292991442579431e-09,7.7806664206688594e-09,7.7784523107804837e-10,2.343859154335387e-10,2.0338934492693052e-18,5.4355639435405631e-19,5.6470999649532076e-20,1.6448086734994835e-28,1.4154629089385774e-30,5.6890278312184813e-33,6.5229362778063032e-32,1.4534866036947744e-32
6.2430721112165855e-09,0.11224551402255126,0.0,0.0,0.0,0.0,0.99999746882598273,2.5111441798466237e-06,8.6963876024377658e-09,1.2868055653576493e-09,8.7746610426608312e-09,9.7726134691741199e-10,2.9472184859136458e-10,3.0135661176312731e-18,8.3757437865150508e-19,9.7191074218995045e-20,3.3199767010976686e-28,3.0193642155936417e-30,1.2136352040333162e-32,1.5510037961030125e-31,3.4516271101585949e-32
6.902649952433124e-09,0.11224552904054845,0.0,0.0,0.0,0.0,0.99999720110377321,2.7762932860886255e-06,9.681944489565526e-09,1.573021725102549e-09,9.7851382683069229e-09,1.2004719094404757e-09,3.6236416397004229e-10,4.280937702955611e-18,1.2358144553429917e-18,1.5843953852304568e-19,6.2316993041191653e-28,5.9664899637544101e-30,2.3983827560701619e-32,3.3789163372749047e-31,7.5099436108201484e-32
7.562227793649663e-09,0.11224554406122397,0.0,0.0,0.0,0.0,0.99999693332186745,3.0414131704549536e-06,1.0679540578247126e-08,1.8879450530227098e-09,1.0812271314202688e-08,1.4477715394053164e-09,4.3743365392697072e-10,5.877135811055385e-18,1.7596914972225373e-18,2.4705870459161152e-19,1.1024146074293344e-27,1.1077135769117263e-29,4.452966582975624e-32,6.8572109460183719e-31,1.5221459565191979e-31
8.221805634866202e-09,0.11224555908460819,0.0,0.0,0.0,0.0,0.99999666547989541,3.3065037965590348e-06,1.1689004339502383e-08,2.2315729889299441e-09,1.1856227896793383e-08,1.7194506165338824e-09,5.200523556584755e-10,7.8440669800383667e-18,2.4323828211056866e-18,3.7121119025729413e-19,1.8562203926730466e-27,1.9515965735385425e-29,7.8456841542180498e-32,1.310697744812482e-30,2.9058076069763598e-31
8.881383476082741e-09,0.11224557411073101,0.0,0.0,0.0,0.0,0.99999639757749037,3.5715651280164849e-06,1.2710169531809691e-08,2.6039029831042869e-09,1.2917170426585264e-08,2.0157954290485691e-09,6.103435063321511e-10,1.0224356703525819e-17,3.2787688189810348e-18,5.4050035068992024e-19,2.9979862748107773e-27,3.2903426738182903e-29,1.3228116633699638e-31,2.3836221349602101e-30,5.2778253565481336e-31
9.54096131729928e-09,0.1122455891396218,0.0,0.0,0.0,0.0,0.99999612961428797,3.8365971284449866e-06,1.3742875042164105e-08,3.0049324964434322e-09,1.3995256166934252e-08,2.337088295823255e-09,7.0843150629798833e-10,1.3061308323024439e-17,4.32538533285558e-18,7.6606791080209415e-19,4.6729643026198487e-27,5.3425760853567567e-29,2.1479372125215162e-31,4.1547353301298059e-30,9.1877731650951013e-31
9.999999999999999e-09,0.11224560417130959,0.0,0.0,0.0,0.0,0.99999594308699813,4.0210310235303601e-06,1.4468322639189885e-08,3.3009682342954317e-09,1.4755757058348158e-08,2.5755658705367919e-09,7.8136456884460825e-10,1.5328496599347391e-17,5.1868185028672508e-18,9.6297176488846568e-19,6.2482313755957959e-27,7.3412935817219396e-29,2.9515635805056027e-31,5.9829696697342387e-30,1.3218973995952925e-30
1.0200539158515819e-08,0.11224560417130959,0.0,0.0,0.0,0.0,0.99999586158992781,4.1015997614641801e-06,1.4786964735253257e-08,3.4346590006000545e-09,1.5090637384733895e-08,2.6836076822491641e-09,8.1444188412963276e-10,1.6398875854102924e-17,5.6003793193265982e-18,1.0606857449728332e-18,7.0631039290962396e-27,8.3958974717422565e-29,3.3755942015423309e-31,6.9796365386436601e-30,1.5415055153953437e-30
