Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
1e-12,0.11224537202611386,0.0,0.0,0.0,0.0,0.99999999959497066,4.0243664209140891e-10,1.2962133359146418e-12,4.6821928523005866e-17,1.2962138882169693e-12,3.3843242357780945e-17,1.0156126932555103e-17,1.4392910537499839e-32,6.3707586656050658e-31,3.4534478966581362e-35,3.2834606971089363e-50,6.8448660740463592e-53,1.341771853989011e-55,2.4886515030221739e-57,5.6093507447844609e-58,5.0694757500695977e-37,2.1051805600316235e-38,3.9117076118956873e-54,1.5173523630240619e-51,2.3763002030260099e-48
1.1488035975478035e-12,0.11224537202611386,0.0,0.0,0.0,0.0,0.99999999953470076,4.6232065787669324e-10,1.4890966797565485e-12,5.8112901367294389e-17,1.4890973652838738e-12,4.2004470579936426e-17,1.2605256233709659e-17,1.9009662123909237e-32,8.2387148620656504e-31,4.5613725249820147e-35,4.407418671046593e-50,9.1879182437399546e-53,1.80439118046044e-55,3.3496279977947894e-57,7.5499675315556095e-58,6.7679721277002829e-37,2.810505765415547e-38,5.2650115906567895e-54,2.0368283271771419e-51,3.1897062140793239e-48
2.297607682022251e-12,0.11224537205222769,0.0,0.0,0.0,0.0,0.99999999906940151,9.246413951257959e-10,2.9782514149680551e-12,2.3245165703061406e-16,2.978254160947946e-12,1.6802071266702398e-16,5.0421894206146301e-17,3.0401502796633334e-31,6.6125753269089435e-30,7.3213486761496144e-34,2.8270623797627693e-48,5.8950010722298292e-51,1.5564659506854595e-53,4.2982246929530535e-55,9.6879797231327551e-56,2.1647870921021461e-35,8.9881529484566075e-37,6.7581739163818098e-52,1.3235973996844132e-49,2.0406163597636925e-46
3.4464117664966987e-12,0.1122453720783415,0.0,0.0,0.0,0.0,0.99999999860410194,1.3869620448823334e-09,4.4674492165910445e-12,4.9395978514885863e-16,4.4674550574817327e-12,3.5704812633680245e-16,1.0714778841831302e-16,1.1588112668052559e-30,1.8949079609854583e-29,2.6994385484873127e-33,1.5787908278865858e-47,2.927205324864073e-50,8.2365598431100652e-53,2.5475055839432579e-54,5.7419288256754784e-55,1.0158336048619806e-34,4.2174499492226225e-36,4.4225637889342898e-51,7.4792736730639404e-49,1.1466805764830689e-45
4.595215850971146e-12,0.1122453721044554,0.0,0.0,0.0,0.0,0.99999999813880247,1.8492826071461139e-09,5.9566900833466476e-12,8.4263727165261086e-16,5.9567000561449635e-12,6.0908853382330941e-16,1.827834988397752e-16,3.1173130291022829e-30,4.0065177939812583e-29,6.8590269645258249e-33,5.9376537339145409e-47,1.2404041093846973e-49,3.5470555858739397e-52,1.1521196713175663e-53,2.5968057513162054e-54,3.1661801800429508e-34,1.3144340781480176e-35,1.8485142075688116e-50,2.6883163438582073e-48,4.0847747572297262e-45
6.892824019920042e-12,0.11224537215668313,0.0,0.0,0.0,0.0,0.99999999720820254,2.7739235261922768e-09,8.9352728836679556e-12,1.7445733501382229e-15,8.9352935619220177e-12,1.2610626397575753e-15,3.7843683765624847e-16,1.2604990831968035e-29,1.1001577827009692e-28,2.4083724586296524e-32,4.2781239826218224e-46,1.1236908347568487e-48,3.3576436064659026e-51,1.1991343903507666e-52,2.7027651029634001e-53,1.5596338376143506e-33,6.4742057755534549e-35,1.5333470343389468e-49,1.6474423824561361e-47,2.4216043365004074e-44
9.190432188868938e-12,0.11224537220891088,0.0,0.0,0.0,0.0,0.99999999627760194,3.698564123425021e-09,1.1914014038994772e-11,2.9670621358914303e-15,1.1914049257194415e-11,2.1447731346442484e-15,6.436329668761989e-16,3.4134928769851582e-29,2.3130106452816538e-28,6.0393142256032397e-32,1.5735324363094517e-45,4.4454459954436273e-48,1.3763537474318701e-50,5.383087307897676e-52,1.2133063363960431e-52,4.8927794516385499e-33,2.0308993445497361e-34,6.4077472621705495e-49,5.9588001361558088e-47,8.6124279089967489e-44
1e-11,0.11224537226113868,0.0,0.0,0.0,0.0,0.99999999594970235,4.0243633984218587e-09,1.2963621131299246e-11,3.4796366048408328e-15,1.2963662455557465e-11,2.5153090022087944e-15,7.5482857067704977e-16,4.6723870692156264e-29,2.9084941722221096e-28,8.0787366544296473e-32,2.4460984929017041e-45,7.1167236116033967e-48,2.2275656734761934e-50,9.066212094296726e-52,2.0434508230411921e-52,7.1034944865619681e-33,2.9484252892512305e-34,1.048641232001223e-48,9.2183683208065051e-47,1.320013822997998e-43
1.1488040357817833e-11,0.11224537226113868,0.0,0.0,0.0,0.0,0.99999999534700101,4.6232043759178144e-09,1.4892924852050267e-11,4.5330001572517128e-15,1.4892978735542313e-11,3.2767847966026462e-15,9.8334297195441924e-16,7.6662840146788933e-29,4.2315518005646154e-28,1.2860366639810706e-31,4.6872031124836049e-45,1.4066611267849456e-47,4.4507437453674176e-50,1.8838298307264732e-51,4.245993136145051e-52,1.257540235755816e-32,5.2194133358788018e-34,2.1192473772498337e-48,1.7575231601619805e-46,2.4903293872708318e-43
1.6083256695715625e-11,0.11224537236559436,0.0,0.0,0.0,0.0,0.99999999348579671,6.4724838250742923e-09,2.0851266050524177e-11,8.7167967556538692e-15,2.0851370014724843e-11,6.3013909873387756e-15,1.891010509180455e-15,2.9700462144633775e-28,1.1308207429247291e-27,4.7651676831668729e-31,3.9233594332268656e-44,1.1751065117079392e-46,4.039895330601121e-49,2.5142060976601743e-50,5.6666825817164412e-51,7.0882326151195485e-32,2.9410011050385332e-33,2.7434032688231384e-47,1.5811719181973968e-45,2.0789955238199982e-42
2.5273689371511206e-11,0.11224537257450604,0.0,0.0,0.0,0.0,0.99999998976337978,1.0171038525788199e-08,3.2770013695461355e-11,2.126633384532065e-14,3.2770269165079408e-11,1.5374798200395275e-14,4.6138964687169849e-15,1.9059031405477188e-27,4.48162365504755e-27,3.0959801795987509e-30,7.2738494754732635e-43,2.0649051244231185e-45,7.6014315491162218e-48,8.2824054756599688e-49,1.866644866132239e-49,7.9188579904111461e-31,3.2829780336454229e-32,9.5616757088379967e-46,3.5398801782501204e-44,4.1860522182372251e-41
4.3654554723102374e-11,0.11224537299233076,0.0,0.0,0.0,0.0,0.99999998231851417,1.7568131122932483e-08,5.66157738843043e-11,6.310661103249224e-14,5.6616543343171996e-11,4.5632029125605e-14,1.3693994175572546e-14,1.7984930524666951e-26,2.473728197393345e-26,3.1381877780539355e-29,2.4532444792257527e-41,6.5295107999277544e-44,2.5065653533379152e-46,5.1415960297854073e-47,1.1586610764962479e-47,1.4238833440466393e-29,5.8929732016704523e-31,6.4047840646078489e-44,1.4741416410783124e-42,1.4642911515701281e-39
8.04162854262847e-11,0.1122453738279856,0.0,0.0,0.0,0.0,0.99999996742865294,3.2362249116707924e-08,1.0434032223436633e-10,2.1373185249387677e-13,1.0434300662082998e-10,1.5460488003487e-13,4.6396760556589697e-14,2.1476870112739509e-25,1.7284552807581016e-25,4.2282092431867197e-28,1.1841292142116051e-39,3.0442055888680269e-42,1.1955236835680519e-44,4.762009853617439e-45,1.0728894755519287e-45,3.3400338669765241e-28,1.3775528408475087e-29,6.2409532803236746e-42,9.0311151753994135e-41,6.8167848687776568e-38
9.999999999999999e-11,0.11224537466364773,0.0,0.0,0.0,0.0,0.99999995949645304,4.0243337241934656e-08,1.2978211809093417e-10,3.3041475717142041e-13,1.2978632846419732e-10,2.390522379817171e-13,7.1739672765474891e-14,5.0659474269997475e-25,3.4432143295183053e-25,1.0200631619331765e-27,4.0720586043691597e-39,1.1297829824926192e-41,4.4503877640327311e-44,2.0074726607547399e-44,4.522630195111402e-45,9.3993190771795385e-28,3.8719387405577914e-29,2.4722768115207692e-41,3.2687170899646141e-40,2.2524277625298049e-37
1.1717801612946702e-10,0.11224537466364773,0.0,0.0,0.0,0.0,0.99999995253861851,4.7156277502509133e-08,1.5210888091545237e-10,4.5361935305426643e-13,1.521147193220629e-10,3.2823167416603949e-13,9.8502794335346827e-14,8.695876588840212e-25,5.4771292166345586e-25,1.766396113260916e-27,7.9044326861187184e-39,2.2352839464125674e-41,8.8113028800707967e-44,4.0833577414199233e-44,9.1992867233464467e-45,1.7207065417919544e-27,7.0854101762749934e-29,4.9628024030269796e-41,6.4266993773325387e-40,4.3257863333404223e-37
1.907014775358317e-10,0.11224537633499372,0.0,0.0,0.0,0.0,0.99999992275803073,7.6744065422634381e-08,2.4777781276538024e-10,1.2011739149791902e-12,2.477941014265822e-10,8.6974951131870866e-13,2.610182232384301e-13,6.1415565127587015e-24,2.7312232442296939e-24,1.4443169502512758e-26,1.8978422159741341e-37,5.5447136328779613e-40,2.204268035739104e-42,1.7661830882533627e-42,3.9774810828645634e-43,2.0375785628282675e-26,8.3405710537861955e-28,2.0899982485502508e-39,1.945287286272388e-38,8.7123791558948914e-36
2.568725928015599e-10,0.11224537783923,0.0,0.0,0.0,0.0,0.99999989595490935,1.0337276803453003e-07,3.340299520992943e-10,2.1792399039705007e-12,3.3406070131584252e-10,1.5788170067243697e-12,4.7382244649452357e-13,1.8642950903766114e-23,7.1128694256462292e-24,4.674678647419184e-26,9.4469488711896293e-37,2.9616573075833917e-39,1.1789860698395936e-41,1.0531480646647314e-41,2.3715080824971924e-42,7.5573483815478472e-26,3.0851648934714267e-27,1.1842950522793488e-38,1.0347353073136305e-37,3.8437980829174175e-35
3.230437080672881e-10,0.11224537934348978,0.0,0.0,0.0,0.0,0.99999986915122674,1.3000118022341213e-07,4.2042403071980739e-10,3.4465027068988413e-12,4.204745479958091e-10,2.4982910101348322e-12,7.4978101875223884e-13,4.4422858199414716e-23,1.5155320228691368e-23,1.1925896058743785e-25,3.2954871818921216e-36,1.1031281219105938e-38,4.3985383800486694e-41,4.5674068470367006e-41,1.0283543887231943e-41,2.150098834262494e-25,8.7508965698000799e-27,4.8690428079941012e-38,3.8578836639232552e-37,1.2891197269975733e-34
3.892148233330163e-10,0.11224538084777327,0.0,0.0,0.0,0.0,0.9999998423469818,1.5662930195438503e-07,5.0695981907231177e-10,5.0029596449618486e-12,5.0703586740929156e-10,3.6285005397386812e-12,1.0889965489017404e-12,9.0219897547434175e-23,2.8323888855879065e-23,2.5797299185543565e-25,9.5599502104401916e-36,3.3734328377048263e-38,1.3462139433213837e-40,1.5489434435570851e-40,3.4870466727546855e-41,5.0501497958661126e-25,2.0495432596850466e-26,1.5807022308789122e-37,1.1844616865335128e-36,3.4662093077365751e-34
4.553859385987445e-10,0.1122453823520804,0.0,0.0,0.0,0.0,0.99999981554217487,1.8325713319100777e-07,5.9363707863847493e-10,6.8486079983426866e-12,5.9374489438012248e-10,4.969788030395803e-12,1.4915761606400684e-12,1.6428505809706287e-22,4.8368874516346495e-23,4.9924930752087826e-25,2.3958624322568039e-35,8.8304737415711062e-38,3.5265263753624542e-40,4.446590595638857e-40,1.0009237189576797e-40,1.0434496703366663e-24,4.222838042048549e-26,4.3754236707170942e-37,3.1209954579341613e-36,8.059132123975385e-34
5.877281691302009e-10,0.11224538536076581,0.0,0.0,0.0,0.0,0.99999976193087214,2.3651192405027327e-07,7.6741515940053939e-10,1.1407469357722969e-11,7.6760690990039369e-10,8.2868228500369203e-12,2.4872129218657379e-12,4.341928277818312e-22,1.1673757101924103e-22,1.4796925466957783e-24,1.1211951018301578e-34,4.4290923508315723e-37,1.7709622817051601e-39,2.6428480414776439e-39,5.9476593711151146e-40,3.4072841463694352e-24,1.3712036832514534e-25,2.4467436064348995e-36,1.5960890291341156e-35,3.2266185339032518e-33
7.200703996616573e-10,0.11224538836954616,0.0,0.0,0.0,0.0,0.99999970831731577,2.8976555250960254e-07,9.4175637924611035e-10,1.7123065419377362e-11,9.4206245911690834e-10,1.2452123037855396e-11,3.7375503940885749e-12,9.4260010301574465e-22,2.3857272115220825e-22,3.5596908923940551e-24,3.7231646302323071e-34,1.5570632636643377e-36,6.230412922300534e-39,1.0510783026169304e-38,2.3649910952452505e-39,8.7564911455184075e-24,3.5059009610138315e-25,9.3419119779111171e-36,5.631966259171522e-35,9.6988637624509302e-33
8.524126301931137e-10,0.11224539137842197,0.0,0.0,0.0,0.0,0.99999965470150209,3.4301801826109846e-07,1.1166587505296057e-09,2.3995373698990351e-11,1.117113498883234e-09,1.7468559208575705e-11,5.2434981847662979e-12,1.7998864743056548e-21,4.3684481214377434e-22,7.4954940148669701e-24,1.0243181005074081e-33,4.5023361557549726e-36,1.8025953939205891e-38,3.386479486239216e-38,7.6183968342416416e-39,1.9357959326955998e-23,7.7110711170924688e-25,2.8973804661707232e-35,1.6300776545779628e-34,2.4571785839720679e-32
9.847548607245702e-10,0.11224539438739342,0.0,0.0,0.0,0.0,0.99999960108342734,3.9626932100226048e-07,1.2921203352634273e-09,3.2024372171396075e-11,1.2927619369532925e-09,2.3338940090853847e-11,7.0059531645534394e-12,3.1344991654160661e-21,7.3870602482507302e-22,1.4361449951255668e-23,2.4944315458871524e-33,1.1419910097764895e-35,4.5745372269395697e-38,9.5404618690155115e-38,2.1458548742996596e-38,3.8494517875035816e-23,1.5252738833020071e-24,7.8841287753603593e-35,4.1551007826346588e-34,5.5428598784976159e-32
9.999999999999999e-10,0.11224539739646076,0.0,0.0,0.0,0.0,0.99999959490675772,4.0240352046014378e-07,1.3123684356702628e-09,3.3023567137074998e-11,1.3130341825673002e-09,2.4070151535012553e-11,7.2254945225484862e-12,3.3253717003303128e-21,7.8153469025324961e-22,1.540554961698049e-23,2.7499187942809929e-33,1.2645828361928453e-35,5.065905207142386e-38,1.070798544366079e-37,2.4083901142794474e-38,4.1447077918389564e-23,1.6411898657889254e-24,8.8130014267631966e-35,4.6055244779399012e-34,6.0559114247383662e-32
1.1170970912560265e-09,0.11224539739646076,0.0,0.0,0.0,0.0,0.99999954746308906,4.495194604391038e-07,1.4681392642927897e-09,4.1210039456765298e-11,1.4690096130768118e-09,3.0065984309334744e-11,9.0257901959527714e-12,5.0893521826618929e-21,1.1751148431332342e-21,2.5592080271043554e-23,5.5243232723735391e-33,2.6149644485149659e-35,1.0479493792967955e-37,2.4223775929253597e-37,5.4473068785694659e-38,7.0580118192886629e-23,2.7810991841167408e-24,1.9432127143188471e-34,9.5932716072071861e-34,1.1439808490183197e-31
1.3817815523189393e-09,0.11224540341488443,0.0,0.0,0.0,0.0,0.99999944021560683,5.5601624822513015e-07,1.8218417421411191e-09,6.3051295003352197e-11,1.8233099748487186e-09,4.6100883241329731e-11,1.3841119401675856e-11,1.1489231568786596e-20,2.5937990620250482e-21,6.9024696153697657e-23,2.1979515751294561e-32,1.1045157162563154e-34,4.4296788632155626e-37,1.2944712971454834e-36,2.9090634207723826e-37,1.9760711374376098e-22,7.6917811746290178e-24,9.8258366633870469e-34,4.1355575707928392e-33,4.009420034079846e-31
1.6050957891419366e-09,0.11224540849292856,0.0,0.0,0.0,0.0,0.99999934972385118,6.4586394904678207e-07,2.1219778547886502e-09,8.5077031586054404e-11,2.1241136742157761e-09,6.2318855297841646e-11,1.8712429819308725e-11,2.031785011813907e-20,4.554887622882296e-21,1.3991262383281288e-22,5.7717657524120837e-32,3.0233467175771555e-34,1.2129994081096995e-36,4.104733107591704e-36,9.2204017926923083e-37,4.0772538085556943e-22,1.570790366358052e-23,3.0163936980983546e-33,1.1420281125114451e-32,9.7036737556580215e-31
1.828410025964934e-09,0.11224541357124959,0.0,0.0,0.0,0.0,0.99999925922560629,7.3570833366298683e-07,2.4236764869686787e-09,1.1039588767611298e-10,2.4266476191193709e-09,8.1011830889368526e-11,2.4328321022092551e-11,3.3253461495546439e-20,7.4532860791623588e-21,2.5951898093531242e-22,1.3319023425506497e-31,7.258359493515712e-34,2.9129958144987563e-36,1.1187375961906957e-35,2.5118570629053353e-36,7.6349734238748151e-22,2.9113667247354181e-23,7.9759423131029961e-33,2.7479317475219527e-32,2.0900802211113624e-30
2.051724262787931e-09,0.11224541864984902,0.0,0.0,0.0,0.0,0.9999991687208567,8.2554940065996606e-07,2.7269289755853518e-09,1.390077607353071e-10,2.7309203303494622e-09,1.0219263339883118e-10,3.0693075720661713e-11,5.1283643487902921e-20,1.1544642184058025e-20,4.4922160463875129e-22,2.7868363245693593e-31,1.5756472017708847e-33,6.3249900673329115e-36,2.7079981211669201e-35,6.0774976530112317e-36,1.3267418158896644e-21,5.007743028055585e-23,1.8772115777671461e-32,5.9538681186248549e-32,4.1135858020664352e-30
